sample_rate_hz,frequency_hz,analog_magnitude_db,measured_magnitude_db,legacy_analog_magnitude_db,analog_phase_deg,measured_phase_deg,magnitude_error_db,phase_error_deg
44100,206,-0.000425886775854,-0.00030932445972,-0.000339819443319,-0.566507757834,-0.566508031122,0.000116562316134,-2.73287901203e-07
44100,224,-0.000499835790023,-0.000363777936774,-0.000401797219924,-0.631346092693,-0.631347814664,0.000136057853248,-1.72197073048e-06
44100,245,-0.000594569187621,-0.000434104351836,-0.000480661545902,-0.705624841937,-0.705625781701,0.000160464835787,-9.3976389541e-07
44100,267,-0.000703430555123,-0.000515689547467,-0.000570854624342,-0.782222951622,-0.782224916996,0.000187741007653,-1.96537381101e-06
44100,291,-0.000833282555152,-0.00061457430991,-0.000678084745214,-0.864690104161,-0.864692355576,0.000218708245243,-2.25141459925e-06
44100,317,-0.000986913203064,-0.000733474490711,-0.000804656665962,-0.953032856293,-0.953035863225,0.000253438712353,-3.00693196816e-06
44100,346,-0.00117407506787,-0.000880370936562,-0.000958599287549,-1.05062450334,-1.05062764248,0.000293704131305,-3.13913687414e-06
44100,377,-0.00139249714023,-0.00105494845498,-0.00113804446197,-1.15409533264,-1.15410048487,0.000337548685252,-5.15223320408e-06
44100,411,-0.0016537957358,-0.00126781337488,-0.00135254013827,-1.26679790099,-1.26680346389,0.000385982360917,-5.56290375447e-06
44100,448,-0.00196393298595,-0.00152594136393,-0.00160698073811,-1.38872544385,-1.38873322153,0.000437991622025,-7.77767300747e-06
44100,488,-0.00232939489976,-0.00183718351085,-0.0019066909227,-1.51988506422,-1.51989490024,0.000492211388913,-9.83602583062e-06
44100,532,-0.00276757062481,-0.00221945307038,-0.0022659334613,-1.6635513088,-1.66356393823,0.00054811755443,-1.26294244856e-05
44100,580,-0.00328874940947,-0.00268566967456,-0.00269314623552,-1.81971174544,-1.81972811661,0.000603079734917,-1.63711771506e-05
44100,632,-0.00390414867357,-0.00325019688712,-0.00319752952868,-1.98836540931,-1.98838670543,0.000653951786454,-2.12961258948e-05
44100,689,-0.00463935674763,-0.00394127093422,-0.00380006240007,-2.17274917851,-2.17277682807,0.000698085813412,-2.76495588463e-05
44100,752,-0.00552568175834,-0.00479382879392,-0.00452641180658,-2.37607613593,-2.37611242379,0.000731852964424,-3.62878586694e-05
44100,819,-0.00655315840879,-0.00580161064589,-0.00536842491434,-2.59188753565,-2.59193443595,0.000751547762892,-4.69002932359e-05
44100,893,-0.00778957758789,-0.00703281299312,-0.00638167527156,-2.82983871776,-2.82989922054,0.000756764594772,-6.05027828709e-05
44100,974,-0.00926509105847,-0.00851536065454,-0.00759089968883,-3.08990086491,-3.08997909472,0.000749730403929,-7.82298053947e-05
44100,1062,-0.0110126443843,-0.010274182989,-0.00902313623885,-3.37204915056,-3.37215066344,0.000738461395247,-0.000101512885692
44100,1158,-0.0130905201726,-0.0123520285844,-0.0107262050951,-3.67945940099,-3.67959094629,0.000738491588207,-0.000131545294766
44100,1262,-0.0155431643993,-0.0147703078555,-0.0127366094771,-4.01209354022,-4.01226347772,0.000772856543768,-0.000169937507684
44100,1376,-0.0184721327703,-0.0176019066173,-0.0151376998718,-4.37629525947,-4.37651522836,0.000870226153072,-0.000219968881755
44100,1500,-0.0219430637745,-0.0208872439762,-0.0179834359225,-4.77199364332,-4.77227831105,0.00105581979836,-0.000284667723075
44100,1635,-0.0260588289391,-0.0247203927774,-0.0213583686079,-5.20229296493,-5.20266086453,0.00133843616171,-0.000367899598544
44100,1783,-0.0309734322706,-0.0292758452367,-0.0253890832634,-5.67344900425,-5.67392572177,0.00169758703395,-0.000476717525809
