type,slope,resonance,input_amplitude,rms,early_rms,output_peak,fundamental_amplitude,finite,stage1_limit_hits,stage2_limit_hits,stage1_max_prelimit,stage2_max_prelimit
LPF,12,103,0.001,2.06045336138e-05,2.06036692313e-05,0.000920833612327,2.91359240654e-05,1,0,0,0.006149058851,0.00512387984174
LPF,12,104,0.001,2.17953096458e-05,2.17943935267e-05,0.000920840131585,3.0819748711e-05,1,0,0,0.00650420312889,0.00541989317616
LPF,12,105,0.001,2.31253594262e-05,2.31243856112e-05,0.000920846592635,3.2700514136e-05,1,0,0,0.00690086813379,0.00575052755036
LPF,12,106,0.001,2.46206894429e-05,2.46196508717e-05,0.000920853111893,3.48149949533e-05,1,0,0,0.00734680059749,0.0061222480332
LPF,12,107,0.001,2.63142096367e-05,2.63130978228e-05,0.000920859572943,3.72097276404e-05,1,0,0,0.00785179908131,0.00654323579738
LPF,12,108,0.001,2.82481869871e-05,2.82469916654e-05,0.000920866092201,3.99444800448e-05,1,0,0,0.00842844662847,0.00702398768612
LPF,12,109,0.001,3.04778254644e-05,3.04765339838e-05,0.000920872611459,4.30973136353e-05,1,0,0,0.00909318060404,0.00757822467317
LPF,12,110,0.001,3.30766258829e-05,3.30752224601e-05,0.000920879130717,4.67721626302e-05,1,0,0,0.00986784041869,0.00822419050839
LPF,12,111,0.001,3.61446512565e-05,3.61431158056e-05,0.000920885591768,5.11105216678e-05,1,0,0,0.0107828679562,0.00898671560433
LPF,12,112,0.001,3.98217176788e-05,3.98200241758e-05,0.000920892111026,5.63100984408e-05,1,0,0,0.0118797846456,0.00990048594386
LPF,12,113,0.001,4.43093126496e-05,4.43074263879e-05,0.000920898630284,6.26558074223e-05,1,0,0,0.0132184922915,0.0110154135171
LPF,12,114,0.001,4.99088127106e-05,4.99066861117e-05,0.000920905207749,7.05738117178e-05,1,0,0,0.014888894101,0.0124073346175
LPF,12,115,0.001,5.70921420831e-05,5.70897074702e-05,0.000920911727007,8.07314382883e-05,1,0,0,0.0170317599329,0.014193067381
LPF,12,116,0.001,6.66422930234e-05,6.66394490613e-05,0.000920918246266,9.4235881508e-05,1,0,0,0.0198805870024,0.0165671656073
LPF,12,117,0.001,7.99601935102e-05,7.9956779059e-05,0.000920924765524,0.000113068131053,1,0,0,0.0238532532275,0.0198777685964
LPF,12,118,0.001,9.98241345181e-05,9.98198695187e-05,0.000920931342989,0.000141156844087,1,0,0,0.0297788877714,0.0248157521153
LPF,12,119,0.001,0.000132634175413,0.000132628506046,0.000920937920455,0.000187552058674,1,0,0,0.0395665171437,0.0329720972853
LPF,12,120,0.001,0.000197166995554,0.000197158564703,0.000920944439713,0.000278805038357,1,0,0,0.0588175042654,0.0490145868879
LPF,12,121,0.001,0.000382495269553,0.00038247890918,0.000920951017179,0.000540869473504,1,0,0,0.114103361017,0.0950861341808
LPF,12,122,0.001,0.00488070347437,0.00455819936923,0.00762202078477,0.00688180910509,1,0,0,1.60834368351,1.34021756
LPF,12,123,0.001,0.027309355123,0.0273112933256,0.0386125072837,0.038532972144,1,20170,0,8.15661071185,6.79420013089
LPF,12,124,0.001,0.0274785439262,0.0274835064171,0.0388438664377,0.0376110522407,1,24995,0,8.2144310439,6.84219511673
