series,source,x,y
envelope,Roland hardware demo,2.405,0.10136251174129741
envelope,Roland hardware demo,2.415,0.10018705159386439
envelope,Roland hardware demo,2.425,0.09923443294197824
envelope,Roland hardware demo,2.435,0.0983791350969975
envelope,Roland hardware demo,2.445,0.10108362487754229
envelope,Roland hardware demo,2.455,0.09952860584305359
envelope,Roland hardware demo,2.465,0.09856030414619772
envelope,Roland hardware demo,2.475,0.09880290067678815
envelope,Roland hardware demo,2.485,0.09787865588762978
envelope,Roland hardware demo,2.495,0.099750310197044
envelope,Roland hardware demo,2.505,0.0942371859333792
envelope,Roland hardware demo,2.515,0.09634305144126483
envelope,Roland hardware demo,2.525,0.09924759247878141
envelope,Roland hardware demo,2.535,0.09951689230360598
envelope,Roland hardware demo,2.545,0.09803461750944782
envelope,Roland hardware demo,2.555,0.09363480838748789
envelope,Roland hardware demo,2.565,0.10335605958817552
envelope,Roland hardware demo,2.575,0.10443391610967252
envelope,Roland hardware demo,2.585,0.1024644204209717
envelope,Roland hardware demo,2.595,0.0995152635573908
envelope,Roland hardware demo,2.605,0.10939073278248182
envelope,Roland hardware demo,2.615,0.09839589326246445
envelope,Roland hardware demo,2.625,0.1003788516491467
envelope,Roland hardware demo,2.635,0.0952613089322443
envelope,Roland hardware demo,2.645,0.09966729090307741
envelope,Roland hardware demo,2.655,0.09890167255379345
envelope,Roland hardware demo,2.665,0.09664243801179699
envelope,Roland hardware demo,2.675,0.0964728351619207
envelope,Roland hardware demo,2.685,0.09814187311743822
envelope,Roland hardware demo,2.695,0.09837973084711522
envelope,Roland hardware demo,2.705,0.09596842555066355
envelope,Roland hardware demo,2.715,0.09747624847009968
envelope,Roland hardware demo,2.725,0.09309844422340972
envelope,Roland hardware demo,2.735,0.09728289601446448
envelope,Roland hardware demo,2.745,0.09552421432137229
envelope,Roland hardware demo,2.755,0.09507557658713929
envelope,Roland hardware demo,2.765,0.08626246872746476
envelope,Roland hardware demo,2.775,0.08764901065115618
envelope,Roland hardware demo,2.785,0.09126546961785187
envelope,Roland hardware demo,2.795,0.08979580507422978
envelope,Roland hardware demo,2.805,0.09213882545523883
envelope,Roland hardware demo,2.815,0.09538202842986063
envelope,Roland hardware demo,2.825,0.10423391821905381
envelope,Roland hardware demo,2.835,0.0937744210676179
envelope,Roland hardware demo,2.845,0.09973726729682324
envelope,Roland hardware demo,2.855,0.09444727839803638
envelope,Roland hardware demo,2.865,0.10328561543504788
envelope,Roland hardware demo,2.875,0.09629925356105234
envelope,Roland hardware demo,2.885,0.1040981618802762
envelope,Roland hardware demo,2.895,0.09874948965074432
envelope,Roland hardware demo,2.905,0.10422181204921949
envelope,Roland hardware demo,2.915,0.10043937602071762
envelope,Roland hardware demo,2.925,0.1009774624920024
envelope,Roland hardware demo,2.935,0.09932888184813748
envelope,Roland hardware demo,2.945,0.09364555314524765
envelope,Roland hardware demo,2.955,0.09686116337557127
envelope,Roland hardware demo,2.965,0.09202207879112247
envelope,Roland hardware demo,2.975,0.09708428954230486
envelope,Roland hardware demo,2.985,0.09305857269039779
envelope,Roland hardware demo,2.995,0.10311553501181901
envelope,Roland hardware demo,3.005,0.10433369192691826
envelope,Roland hardware demo,3.015,0.10922754899225438
envelope,Roland hardware demo,3.025,0.10391416779702138
envelope,Roland hardware demo,3.035,0.10623251570280984
envelope,Roland hardware demo,3.045,0.10283115537368256
envelope,Roland hardware demo,3.055,0.09718212952742672
envelope,Roland hardware demo,3.065,0.09730283837425335
envelope,Roland hardware demo,3.075,0.09927791998679354
envelope,Roland hardware demo,3.085,0.09982570537934352
envelope,Roland hardware demo,3.095,0.09879841983465913
envelope,Roland hardware demo,3.105,0.09744869559072482
envelope,Roland hardware demo,3.115,0.09544662118344877
envelope,Roland hardware demo,3.125,0.09499050276896209
envelope,Roland hardware demo,3.135,0.09448831979668326
envelope,Roland hardware demo,3.145,0.09242499700266299
envelope,Roland hardware demo,3.155,0.09072318649266257
envelope,Roland hardware demo,3.165,0.09171696077173251
envelope,Roland hardware demo,3.175,0.09122006550285312
envelope,Roland hardware demo,3.185,0.09085451764079637
envelope,Roland hardware demo,3.195,0.09267801430523562
envelope,Roland hardware demo,3.205,0.09390299641464059
envelope,Roland hardware demo,3.215,0.09250957286682407
envelope,Roland hardware demo,3.225,0.08977704621705788
envelope,Roland hardware demo,3.235,0.09129242316298558
envelope,Roland hardware demo,3.245,0.09508633779181601
envelope,Roland hardware demo,3.255,0.10028831743626551
envelope,Roland hardware demo,3.265,0.09924627620822436
envelope,Roland hardware demo,3.275,0.10668960711595345
envelope,Roland hardware demo,3.285,0.10260498047337205
envelope,Roland hardware demo,3.295,0.10540827089693312
envelope,Roland hardware demo,3.305,0.09761279947113996
envelope,Roland hardware demo,3.315,0.10618137749257366
envelope,Roland hardware demo,3.325,0.09702272807006856
envelope,Roland hardware demo,3.335,0.10634398462169387
envelope,Roland hardware demo,3.345,0.09590358054548931
envelope,Roland hardware demo,3.355,0.1058762776013479
envelope,Roland hardware demo,3.365,0.09626506455443373
envelope,Roland hardware demo,3.375,0.10535887720512019
envelope,Roland hardware demo,3.385,0.09782627050457067
envelope,Roland hardware demo,3.395,0.10477228163520697
envelope,Roland hardware demo,3.405,0.09872631427679833
envelope,Roland hardware demo,3.415,0.1028531534778565
envelope,Roland hardware demo,3.425,0.09881073524089061
envelope,Roland hardware demo,3.435,0.09987933582717405
envelope,Roland hardware demo,3.445,0.09863529179645171
envelope,Roland hardware demo,3.455,0.10144992076275777
envelope,Roland hardware demo,3.465,0.10352548765662134
envelope,Roland hardware demo,3.475,0.10413717767490274
envelope,Roland hardware demo,3.485,0.10570140175053079
envelope,Roland hardware demo,3.495,0.10571852719430125
envelope,Roland hardware demo,3.505,0.10386475372408588
envelope,Roland hardware demo,3.515,0.10211501849356926
envelope,Roland hardware demo,3.525,0.10159848881267552
envelope,Roland hardware demo,3.535,0.10119174896756995
envelope,Roland hardware demo,3.545,0.10076048849635566
envelope,Roland hardware demo,3.555,0.1003474587223635
envelope,Roland hardware demo,3.565,0.10000785631857777
envelope,Roland hardware demo,3.575,0.09961166564568559
envelope,Roland hardware demo,3.585,0.09913349439632366
envelope,Roland hardware demo,3.595,0.09880725551754986
envelope,Roland hardware demo,3.605,0.09881547464031866
envelope,Roland hardware demo,3.615,0.0988898759186094
envelope,Roland hardware demo,3.625,0.09891462377841072
envelope,Roland hardware demo,3.635,0.09878106320188913
envelope,Roland hardware demo,3.645,0.09813437389698967
envelope,Roland hardware demo,3.655,0.09682997330900918
envelope,Roland hardware demo,3.665,0.09498317851496575
envelope,Roland hardware demo,3.675,0.0927456567325748
envelope,Septum / reconstructed MIDI,0.025,0.08061125457004888
envelope,Septum / reconstructed MIDI,0.035,0.09795518142346508
envelope,Septum / reconstructed MIDI,0.045,0.11352678234203098
envelope,Septum / reconstructed MIDI,0.055,0.12059793837100893
envelope,Septum / reconstructed MIDI,0.065,0.11892709286339258
envelope,Septum / reconstructed MIDI,0.075,0.12191103189549295
envelope,Septum / reconstructed MIDI,0.085,0.11820544353495381
envelope,Septum / reconstructed MIDI,0.095,0.11506533547972528
envelope,Septum / reconstructed MIDI,0.105,0.11806426930622212
envelope,Septum / reconstructed MIDI,0.115,0.11835188052022079
envelope,Septum / reconstructed MIDI,0.125,0.1176274025595363
envelope,Septum / reconstructed MIDI,0.135,0.11513170675080095
envelope,Septum / reconstructed MIDI,0.145,0.1150380094275873
envelope,Septum / reconstructed MIDI,0.155,0.11803911111866205
envelope,Septum / reconstructed MIDI,0.165,0.11845610360583192
envelope,Septum / reconstructed MIDI,0.175,0.11636466391922572
envelope,Septum / reconstructed MIDI,0.185,0.114867547218575
envelope,Septum / reconstructed MIDI,0.195,0.11550550175151404
envelope,Septum / reconstructed MIDI,0.205,0.11773584447457937
envelope,Septum / reconstructed MIDI,0.215,0.11761998636357793
envelope,Septum / reconstructed MIDI,0.225,0.11460683391818816
envelope,Septum / reconstructed MIDI,0.235,0.11570037741932382
envelope,Septum / reconstructed MIDI,0.245,0.11633467618983971
envelope,Septum / reconstructed MIDI,0.255,0.1172685300281555
envelope,Septum / reconstructed MIDI,0.265,0.11578518094552354
envelope,Septum / reconstructed MIDI,0.275,0.11403969982858878
envelope,Septum / reconstructed MIDI,0.285,0.11662386934942054
envelope,Septum / reconstructed MIDI,0.295,0.11717439585043332
envelope,Septum / reconstructed MIDI,0.305,0.11668398343522304
envelope,Septum / reconstructed MIDI,0.315,0.11371338163487679
envelope,Septum / reconstructed MIDI,0.325,0.11421707393748368
envelope,Septum / reconstructed MIDI,0.335,0.11706688460088543
envelope,Septum / reconstructed MIDI,0.345,0.117430570361049
envelope,Septum / reconstructed MIDI,0.355,0.11566284367500954
envelope,Septum / reconstructed MIDI,0.365,0.11371250894325309
envelope,Septum / reconstructed MIDI,0.375,0.1148088264292691
envelope,Septum / reconstructed MIDI,0.385,0.11750594886663704
envelope,Septum / reconstructed MIDI,0.395,0.11540924829318916
envelope,Septum / reconstructed MIDI,0.405,0.10798103945106641
envelope,Septum / reconstructed MIDI,0.415,0.10759427889664454
envelope,Septum / reconstructed MIDI,0.425,0.09955214546659663
envelope,Septum / reconstructed MIDI,0.435,0.08675523737243408
envelope,Septum / reconstructed MIDI,0.445,0.0775515069832034
envelope,Septum / reconstructed MIDI,0.455,0.0714528542514737
envelope,Septum / reconstructed MIDI,0.465,0.0712557632041341
envelope,Septum / reconstructed MIDI,0.475,0.07749744099770672
envelope,Septum / reconstructed MIDI,0.485,0.08956852930086208
envelope,Septum / reconstructed MIDI,0.495,0.10137836209332672
envelope,Septum / reconstructed MIDI,0.505,0.11372647924037778
envelope,Septum / reconstructed MIDI,0.515,0.11928898141703125
envelope,Septum / reconstructed MIDI,0.525,0.11743382229881967
envelope,Septum / reconstructed MIDI,0.535,0.11800403261873595
envelope,Septum / reconstructed MIDI,0.545,0.11859622419535684
envelope,Septum / reconstructed MIDI,0.555,0.1138752218600331
envelope,Septum / reconstructed MIDI,0.565,0.11364033923206945
